PROJETO;MÊS;DIA;HORA TRABALHADA;OBS;DESCRIÇÃO DAS TAREFAS
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;12/12/2024;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;13/12/2024;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;16/12/2024;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;17/12/2024;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;18/12/2024;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;19/12/2024;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;20/12/2024;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;23/12/2024;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;24/12/2024;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;25/12/2024;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;26/12/2024;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;27/12/2024;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;30/12/2024;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;31/12/2024;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;02/01/2025;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;03/01/2025;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;06/01/2025;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;07/01/2025;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;08/01/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;09/01/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;10/01/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;13/01/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;14/01/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;15/01/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;16/01/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;17/01/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;20/01/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;21/01/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;22/01/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;23/01/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;24/01/2025;0h;NÃO ATUEI NESTE PROJETO, A DEMANDA FOI REPASSADA PARA ALEXANDRE;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;27/01/2025;0h;NÃO ATUEI NESTE PROJETO, A DEMANDA FOI REPASSADA PARA ALEXANDRE;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;28/01/2025;0h;NÃO ATUEI NESTE PROJETO, A DEMANDA FOI REPASSADA PARA ALEXANDRE;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;29/01/2025;0h;NÃO ATUEI NESTE PROJETO, A DEMANDA FOI REPASSADA PARA ALEXANDRE;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;30/01/2025;0h;NÃO ATUEI NESTE PROJETO, A DEMANDA FOI REPASSADA PARA ALEXANDRE;
POSIÇÕES DE CONTAS BANCÁRIAS;JANEIRO;31/01/2025;0h;NÃO ATUEI NESTE PROJETO, A DEMANDA FOI REPASSADA PARA ALEXANDRE;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;03/02/2025;0h;NÃO ATUEI NESTE PROJETO, A DEMANDA FOI REPASSADA PARA ALEXANDRE;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;04/02/2025;0h;NÃO ATUEI NESTE PROJETO, A DEMANDA FOI REPASSADA PARA ALEXANDRE;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;05/02/2025;0h;NÃO ATUEI NESTE PROJETO, A DEMANDA FOI REPASSADA PARA ALEXANDRE;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;06/02/2025;0h;NÃO ATUEI NESTE PROJETO, A DEMANDA FOI REPASSADA PARA ALEXANDRE;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;07/02/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;10/02/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;11/02/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;12/02/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;13/02/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;14/02/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;17/02/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;18/02/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;19/02/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;20/02/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;21/02/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;24/02/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;25/02/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;26/02/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;27/02/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;FEVEREIRO;28/02/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;MARÇO;03/03/2025;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;MARÇO;04/03/2025;8h;EM DESENVOLVIMENTO;
